Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
533,15,25,16,21,12,5
534,4,2,3,10,41,26
535,26,9,6,13,32,31
536,12,17,4,44,11,27
537,15,48,29,47,18,42
538,12,22,36,6,23,37
539,26,46,20,39,8,5
540,27,42,48,44,46,23
541,30,46,40,16,5,43
542,43,7,20,47,48,5
543,35,7,22,20,37,32
544,40,31,24,14,3,47
545,12,40,7,10,6,41
546,3,36,9,41,11,24
547,46,27,7,19,6,38
548,35,17,39,7,24,21
549,30,40,41,14,23,43
550,22,7,32,29,37,1
551,17,38,6,33,28,49
552,21,36,2,28,6,34
553,15,20,13,49,35,46
554,37,25,5,38,30,10
555,11,26,16,27,24,44
556,39,45,30,34,38,4
557,38,44,28,23,5,18
558,23,27,25,11,18,22
559,38,36,22,17,31,49
560,16,27,42,18,46,24
561,33,5,10,7,14,26
562,36,42,49,37,26,16
563,8,9,28,36,23,47
564,35,45,19,2,41,12
565,1,42,47,11,10,21
566,25,22,20,27,48,42
567,23,48,20,26,6,38
568,5,33,13,11,35,46
569,23,41,28,35,30,25
570,4,7,25,36,20,14
571,25,42,10,28,5,3
572,18,46,39,26,10,34
573,40,38,5,25,7,13
574,34,48,4,46,7,24
575,49,1,8,48,3,38
576,17,36,32,27,19,5
577,16,7,18,42,19,36
578,46,8,25,19,37,41
579,47,36,13,19,49,38
580,41,49,34,12,14,45
581,7,48,27,33,21,14
582,9,12,25,13,32,40
583,8,12,19,6,11,10
584,30,40,13,1,48,3
585,16,33,11,6,32,35
586,8,5,24,16,23,36
587,45,3,35,20,21,32
588,10,6,30,2,17,1
589,48,32,7,27,12,42
590,38,13,33,27,2,39
591,13,24,11,10,6,18
592,25,21,24,4,8,2
593,33,5,12,27,16,24
594,25,4,1,7,35,20
595,6,29,49,9,39,27
596,28,44,24,1,38,4
597,19,8,14,48,37,40
598,39,22,46,30,9,33
599,1,38,34,22,45,13
600,33,22,27,37,21,35
601,15,1,14,20,28,29
602,35,9,6,27,5,33
603,12,17,31,29,27,48
604,16,10,15,18,40,4
